route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,jp_parent_route_id
00109,3000020141003,001系統,緑車庫前→中山町→中山駅前,,3,,0000ff,ffffff,001
00110,3000020141003,001系統,中山駅前→中山町→緑車庫前,,3,,0000ff,ffffff,001
00202,3000020141003,002系統,港南車庫前→吉原→上大岡駅前,,3,,0000ff,ffffff,002
00203,3000020141003,002系統,上大岡駅前→吉原→港南車庫前,,3,,0000ff,ffffff,002
00602,3000020141003,006系統,新横浜駅前→大倉山駅前→梶山,,3,,0000ff,ffffff,006
00606,3000020141003,006系統,梶山→大倉山駅前→新横浜駅前,,3,,0000ff,ffffff,006
00700,3000020141003,007系統,横浜駅前→東寺尾５丁目→川崎駅西,,3,,0000ff,ffffff,007
00701,3000020141003,007系統,川崎駅西口→東寺尾５丁目→横浜駅,,3,,0000ff,ffffff,007
00702,3000020141003,007系統,三ツ池道→国道尻手→川崎駅西口,,3,,0000ff,ffffff,007
00704,3000020141003,007系統,横浜駅前→東部病院→川崎駅西口,,3,,0000ff,ffffff,007
00705,3000020141003,007系統,川崎駅西口→東部病院→横浜駅前,,3,,0000ff,ffffff,007
00706,3000020141003,007系統,子安小学校入口→川崎駅西口,,3,,0000ff,ffffff,007
00707,3000020141003,007系統,川崎駅西口→東寺尾５丁目→子安小,,3,,0000ff,ffffff,007
00800,3000020141003,008系統,本牧車庫前→本牧市民公園前→横浜,,3,,0000ff,ffffff,008
00801,3000020141003,008系統,横浜駅前→本牧市民公園前→本牧車,,3,,0000ff,ffffff,008
00802,3000020141003,008系統,本牧車庫前→桜木町駅前→横浜駅前,,3,,0000ff,ffffff,008
00803,3000020141003,008系統,横浜駅前→桜木町駅前→本牧車庫前,,3,,0000ff,ffffff,008
00804,3000020141003,008系統,本牧→三溪園入口→横浜駅前,,3,,0000ff,ffffff,008
00809,3000020141003,008系統,桜木町駅前→本牧大里町→本牧車庫,,3,,0000ff,ffffff,008
00904,3000020141003,009系統,滝頭→弘明寺→横浜駅前,,3,,0000ff,ffffff,009
00905,3000020141003,009系統,横浜駅前→弘明寺→滝頭,,3,,0000ff,ffffff,009
00906,3000020141003,009系統,滝頭→弘明寺→藤棚,,3,,0000ff,ffffff,009
00907,3000020141003,009系統,藤棚→弘明寺→滝頭,,3,,0000ff,ffffff,009
00909,3000020141003,009系統,通町１丁目→弘明寺→磯子車庫前,,3,,0000ff,ffffff,009
00911,3000020141003,009系統,通町１丁目→弘明寺→滝頭,,3,,0000ff,ffffff,009
00912,3000020141003,009系統,磯子車庫前→弘明寺→保土ケ谷駅東,,3,,0000ff,ffffff,009
00914,3000020141003,009系統,磯子駅前→弘明寺→保土ケ谷駅東口,,3,,0000ff,ffffff,009
00915,3000020141003,009系統,保土ケ谷駅東口→弘明寺→磯子駅前,,3,,0000ff,ffffff,009
00916,3000020141003,009系統,滝頭→弘明寺→保土ケ谷駅東口,,3,,0000ff,ffffff,009
00917,3000020141003,009系統,保土ケ谷駅東口→弘明寺→滝頭,,3,,0000ff,ffffff,009
00922,3000020141003,009系統,滝頭→岡村町→弘明寺,,3,,0000ff,ffffff,009
00923,3000020141003,009系統,弘明寺→岡村町→滝頭,,3,,0000ff,ffffff,009
00924,3000020141003,009系統,磯子駅前→八幡橋（磯子区）→滝頭,,3,,0000ff,ffffff,009
01008,3000020141003,010系統,磯子駅前→中原→峰の郷,,3,,0000ff,ffffff,010
01009,3000020141003,010系統,峰の郷→中原→磯子駅前,,3,,0000ff,ffffff,010
01208,3000020141003,012系統,緑車庫前→白山高校→西菅田団地,,3,,0000ff,ffffff,012
01209,3000020141003,012系統,西菅田団地→白山高校→緑車庫前,,3,,0000ff,ffffff,012
01211,3000020141003,012系統,鴨居駅前→白山高校→中山駅前,,3,,0000ff,ffffff,012
01213,3000020141003,012系統,白山高校→白山坂上→中山駅前,,3,,0000ff,ffffff,012
01214,3000020141003,012系統,緑車庫前→鴨居駅前→西菅田団地,,3,,0000ff,ffffff,012
01215,3000020141003,012系統,西菅田団地→鴨居駅前→緑車庫前,,3,,0000ff,ffffff,012
01216,3000020141003,012系統,鴨居駅前→鴨居橋→白山高校,,3,,0000ff,ffffff,012
01217,3000020141003,012系統,白山高校→鴨居橋→鴨居駅前,,3,,0000ff,ffffff,012
01220,3000020141003,012系統,緑車庫前→白山坂上→白山高校,,3,,0000ff,ffffff,012
01221,3000020141003,012系統,白山高校→白山坂上→緑車庫前,,3,,0000ff,ffffff,012
01228,3000020141003,012系統,白山高校→鴨居駅前→西菅田団地,,3,,0000ff,ffffff,012
01229,3000020141003,012系統,西菅田団地→鴨居駅前→白山高校,,3,,0000ff,ffffff,012
01231,3000020141003,012系統,鴨居駅前→中山駅前,,3,,0000ff,ffffff,012
01232,3000020141003,012系統,鴨居駅前→西菅田団地,,3,,0000ff,ffffff,012
01233,3000020141003,012系統,西菅田団地→菅田町→鴨居駅前,,3,,0000ff,ffffff,012
01234,3000020141003,012系統,中山駅前→白山高校→鴨居駅前,,3,,0000ff,ffffff,012
01236,3000020141003,012系統,中山駅前→緑車庫前→西菅田団地,,3,,0000ff,ffffff,012
01238,3000020141003,012系統,中山駅前→白山坂上→白山高校,,3,,0000ff,ffffff,012
01241,3000020141003,012系統,西菅田団地→鴨居駅前→中山駅前,,3,,0000ff,ffffff,012
01242,3000020141003,012系統,中山駅前→緑車庫前→鴨居駅前,,3,,0000ff,ffffff,012
01302,3000020141003,013系統,鶴見駅前→末吉橋→一の瀬,,3,,0000ff,ffffff,013
01303,3000020141003,013系統,一の瀬→末吉橋→鶴見駅前,,3,,0000ff,ffffff,013
01308,3000020141003,013系統,鶴見駅前→一の瀬→新横浜駅前,,3,,0000ff,ffffff,013
01309,3000020141003,013系統,新横浜駅前→一の瀬→鶴見駅前,,3,,0000ff,ffffff,013
01313,3000020141003,013系統,一の瀬→末吉橋→鶴見郵便局前,,3,,0000ff,ffffff,013
01314,3000020141003,013系統,鶴見駅前→一の瀬→綱島駅入口,,3,,0000ff,ffffff,013
01317,3000020141003,013系統,新綱島駅→一の瀬→鶴見駅前,,3,,0000ff,ffffff,013
01402,3000020141003,014系統,梶山→三角→鶴見駅西口,,3,,0000ff,ffffff,014
01403,3000020141003,014系統,鶴見駅入口→三角→梶山,,3,,0000ff,ffffff,014
01500,3000020141003,015系統,鶴見駅前→本町通１丁目→鶴見駅前,,3,,0000ff,ffffff,015
01507,3000020141003,015系統,鶴見駅前→向井町１丁目→鶴見駅前,,3,,0000ff,ffffff,015
01509,3000020141003,015系統,鶴見駅前→大東町,,3,,0000ff,ffffff,015
01545,3000020141003,015系統,鶴見駅前→向井町１丁目→鶴見駅前,,3,,0000ff,ffffff,015
01546,3000020141003,015系統,鶴見駅前→汐鶴橋通→鶴見駅前,,3,,0000ff,ffffff,015
01548,3000020141003,015系統,鶴見駅前→向井町１丁目→鶴見駅前,,3,,0000ff,ffffff,015
01602,3000020141003,016系統,鶴見駅前→向井町１丁目→鶴見駅前,,3,,0000ff,ffffff,016
01603,3000020141003,016系統,鶴見駅前→鶴見総合高校前→鶴見駅,,3,,0000ff,ffffff,016
01605,3000020141003,016系統,鶴見総合高校前→鶴見駅前,,3,,0000ff,ffffff,016
01607,3000020141003,016系統,鶴見駅前→芦穂橋→鶴見駅前,,3,,0000ff,ffffff,016
01700,3000020141003,017系統,鶴見駅前→Ｌ８バース→鶴見駅前,,3,,0000ff,ffffff,017
01706,3000020141003,017系統,鶴見駅前→Ｌ８バース→鶴見駅前,,3,,0000ff,ffffff,017
01708,3000020141003,017系統,鶴見駅前→Ｌ８バース→鶴見駅前,,3,,0000ff,ffffff,017
01710,3000020141003,017系統,鶴見駅前→流通センター→鶴見駅前,,3,,0000ff,ffffff,017
01744,3000020141003,017系統,鶴見駅前→流通センター→鶴見駅前,,3,,0000ff,ffffff,017
01804,3000020141003,018系統,生麦→元宮→矢向駅前,,3,,0000ff,ffffff,018
01805,3000020141003,018系統,矢向駅前→元宮→生麦,,3,,0000ff,ffffff,018
01806,3000020141003,018系統,鶴見駅前→元宮→矢向駅前,,3,,0000ff,ffffff,018
01807,3000020141003,018系統,矢向駅前→元宮→鶴見駅前,,3,,0000ff,ffffff,018
01900,3000020141003,019系統,鶴見駅前→宝町→新子安駅前,,3,,0000ff,ffffff,019
01901,3000020141003,019系統,新子安駅前→宝町→鶴見駅前,,3,,0000ff,ffffff,019
01902,3000020141003,019系統,生麦→宝町→新子安駅前,,3,,0000ff,ffffff,019
01904,3000020141003,019系統,新子安駅前→生麦→新子安駅前,,3,,0000ff,ffffff,019
01905,3000020141003,019系統,新子安駅前→宝町→新子安駅前,,3,,0000ff,ffffff,019
01909,3000020141003,019系統,新子安駅前→宝町→生麦,,3,,0000ff,ffffff,019
