route_id,route_update_date,origin_stop,via_stop,destination_stop
00109,20240401,緑車庫前,中山町,中山駅前
00110,20240401,中山駅前,中山町,緑車庫前
00202,20240401,港南車庫前,吉原,上大岡駅前
00203,20240401,上大岡駅前,吉原,港南車庫前
00602,20240401,新横浜駅前,大倉山駅前,梶山
00606,20240401,梶山,大倉山駅前,新横浜駅前
00700,20240401,横浜駅前,東寺尾５丁目,川崎駅西口
00701,20240401,川崎駅西口,東寺尾５丁目,横浜駅前
00702,20240401,三ツ池道,国道尻手,川崎駅西口
00704,20240401,横浜駅前,東部病院,川崎駅西口
00705,20240401,川崎駅西口,東部病院,横浜駅前
00706,20240401,子安小学校入口,,川崎駅西口
00707,20240401,川崎駅西口,東寺尾５丁目,子安小学校入口
00800,20240401,本牧車庫前,本牧市民公園前,横浜駅前
00801,20240401,横浜駅前,本牧市民公園前,本牧車庫前
00802,20240401,本牧車庫前,桜木町駅前,横浜駅前
00803,20240401,横浜駅前,桜木町駅前,本牧車庫前
00804,20240401,本牧,三溪園入口,横浜駅前
00809,20240401,桜木町駅前,本牧大里町,本牧車庫前
00904,20240401,滝頭,弘明寺,横浜駅前
00905,20240401,横浜駅前,弘明寺,滝頭
00906,20240401,滝頭,弘明寺,藤棚
00907,20240401,藤棚,弘明寺,滝頭
00909,20240401,通町１丁目,弘明寺,磯子車庫前
00911,20240401,通町１丁目,弘明寺,滝頭
00912,20240401,磯子車庫前,弘明寺,保土ケ谷駅東口
00914,20240401,磯子駅前,弘明寺,保土ケ谷駅東口
00915,20240401,保土ケ谷駅東口,弘明寺,磯子駅前
00916,20240401,滝頭,弘明寺,保土ケ谷駅東口
00917,20240401,保土ケ谷駅東口,弘明寺,滝頭
00922,20240401,滝頭,岡村町,弘明寺
00923,20240401,弘明寺,岡村町,滝頭
00924,20240401,磯子駅前,八幡橋（磯子区）,滝頭
01008,20240401,磯子駅前,中原,峰の郷
01009,20240401,峰の郷,中原,磯子駅前
01208,20240401,緑車庫前,白山高校,西菅田団地
01209,20240401,西菅田団地,白山高校,緑車庫前
01211,20240401,鴨居駅前,白山高校,中山駅前
01213,20240401,白山高校,白山坂上,中山駅前
01214,20240401,緑車庫前,鴨居駅前,西菅田団地
01215,20240401,西菅田団地,鴨居駅前,緑車庫前
01216,20240401,鴨居駅前,鴨居橋,白山高校
01217,20240401,白山高校,鴨居橋,鴨居駅前
01220,20240401,緑車庫前,白山坂上,白山高校
01221,20240401,白山高校,白山坂上,緑車庫前
01228,20240401,白山高校,鴨居駅前,西菅田団地
01229,20240401,西菅田団地,鴨居駅前,白山高校
01231,20240401,鴨居駅前,,中山駅前
01232,20240401,鴨居駅前,,西菅田団地
01233,20240401,西菅田団地,菅田町,鴨居駅前
01234,20240401,中山駅前,白山高校,鴨居駅前
01236,20240401,中山駅前,緑車庫前,西菅田団地
01238,20240401,中山駅前,白山坂上,白山高校
01241,20240401,西菅田団地,鴨居駅前,中山駅前
01242,20240401,中山駅前,緑車庫前,鴨居駅前
01302,20240401,鶴見駅前,末吉橋,一の瀬
01303,20240401,一の瀬,末吉橋,鶴見駅前
01308,20240401,鶴見駅前,一の瀬,新横浜駅前
01309,20240401,新横浜駅前,一の瀬,鶴見駅前
01313,20240401,一の瀬,末吉橋,鶴見郵便局前
01314,20240401,鶴見駅前,一の瀬,綱島駅入口
01317,20240401,新綱島駅,一の瀬,鶴見駅前
01402,20240401,梶山,三角,鶴見駅西口
01403,20240401,鶴見駅入口,三角,梶山
01500,20240401,鶴見駅前,本町通１丁目,鶴見駅前
01507,20240401,鶴見駅前,向井町１丁目,鶴見駅前
01509,20240401,鶴見駅前,,大東町
01545,20240401,鶴見駅前,向井町１丁目,鶴見駅前
01546,20240401,鶴見駅前,汐鶴橋通,鶴見駅前
01548,20240401,鶴見駅前,向井町１丁目,鶴見駅前
01602,20240401,鶴見駅前,向井町１丁目,鶴見駅前
01603,20240401,鶴見駅前,鶴見総合高校前,鶴見駅前
01605,20240401,鶴見総合高校前,,鶴見駅前
01607,20240401,鶴見駅前,芦穂橋,鶴見駅前
01700,20240401,鶴見駅前,Ｌ８バース,鶴見駅前
01706,20240401,鶴見駅前,Ｌ８バース,鶴見駅前
01708,20240401,鶴見駅前,Ｌ８バース,鶴見駅前
01710,20240401,鶴見駅前,流通センター,鶴見駅前
01744,20240401,鶴見駅前,流通センター,鶴見駅前
01804,20240401,生麦,元宮,矢向駅前
01805,20240401,矢向駅前,元宮,生麦
01806,20240401,鶴見駅前,元宮,矢向駅前
01807,20240401,矢向駅前,元宮,鶴見駅前
01900,20240401,鶴見駅前,宝町,新子安駅前
01901,20240401,新子安駅前,宝町,鶴見駅前
01902,20240401,生麦,宝町,新子安駅前
01904,20240401,新子安駅前,生麦,新子安駅前
01905,20240401,新子安駅前,宝町,新子安駅前
01909,20240401,新子安駅前,宝町,生麦
01911,20240401,新子安駅前,宝町,新子安駅前
02000,20240401,桜木町駅前,元町入口,山手駅前
02001,20240401,山手駅前,元町入口,桜木町駅前
02002,20240401,山下ふ頭,元町入口,山手駅前
02003,20240401,山手駅前,元町入口,山下ふ頭
02010,20240401,元町入口,上野町,山手駅前
02011,20240401,山手駅前,上野町,元町入口
02100,20240401,市電保存館前,麦田町,桜木町駅前
02101,20240401,桜木町駅前,麦田町,市電保存館前
02103,20240401,桜木町駅前,麦田町,根岸駅前
02104,20240401,市電保存館前,原町,根岸駅前
02105,20240401,根岸駅前,原町,市電保存館前
02111,20240401,山元町１丁目,根岸駅前,市電保存館前
02152,20240401,根岸駅前,,旭台（中区）
02153,20240401,旭台（中区）,,根岸駅前
02224,20240401,保土ケ谷駅西口,花見台西,星川駅
02225,20240401,星川駅,和田町駅,保土ケ谷駅西口
02228,20240401,保土ケ谷駅西口,花見台西,保土ケ谷車庫前
02229,20240401,保土ケ谷車庫前,花見台西,保土ケ谷駅西口
02323,20240401,若葉台中央,十日市場,中山駅前
02324,20240401,青葉台駅,十日市場駅前,若葉台中央
02325,20240401,若葉台中央,十日市場駅前,青葉台駅
02326,20240401,十日市場駅前,霧が丘センター前,若葉台中央
02327,20240401,若葉台中央,霧が丘センター前,十日市場駅前
02336,20240401,三保中央,十日市場駅前,青葉台駅
02337,20240401,青葉台駅,十日市場駅前,三保中央
02340,20240401,中山駅前,緑区役所前,若葉台中央
02500,20240401,保土ケ谷駅西口,星川町,横浜駅西口
02503,20240401,洪福寺,星川町,保土ケ谷駅西口
02505,20240401,大門通,星川町,保土ケ谷駅西口
02507,20240401,横浜駅西口,星川町,保土ケ谷駅西口
02512,20240401,保土ケ谷駅西口,桜ケ丘,保土ケ谷野球場前
02513,20240401,保土ケ谷野球場前,桜ケ丘,保土ケ谷駅西口
02515,20240401,大門通,星川町,保土ケ谷駅西口
02526,20240401,花見台,星川町,横浜駅西口
02532,20240401,保土ケ谷駅西口,,明神台
02533,20240401,明神台,,保土ケ谷駅西口
02602,20240401,本牧車庫前,大さん橋入口,横浜駅前
02603,20240401,横浜駅前,大さん橋入口,本牧車庫前
02604,20240401,横浜港シンボルタワー,大さん橋入口,横浜駅前
02605,20240401,横浜駅前,大さん橋入口,横浜港シンボルタワー
02606,20240401,海づり桟橋,大さん橋入口,横浜駅前
02607,20240401,横浜駅前,大さん橋入口,海づり桟橋
02611,20240401,横浜駅前,大さん橋入口,本牧ポートハイツ前
02620,20240401,本牧TOC,大さん橋入口,横浜駅前
02621,20240401,横浜駅前,大さん橋入口,本牧TOC
02622,20240401,港湾カレッジ前,大さん橋入口,横浜駅前
02623,20240401,横浜駅前,大さん橋入口,港湾カレッジ前
02624,20240401,本牧車庫前,大さん橋入口,横浜駅前
02626,20240401,海づり桟橋,大さん橋入口,横浜駅前
02628,20240401,本牧TOC,大さん橋入口,横浜駅前
02630,20240401,港湾カレッジ前,大さん橋入口,横浜駅前
02700,20240401,鶴見駅前,,安善町
02705,20240401,安善町,汐鶴橋,鶴見駅前
02800,20240401,新羽駅,梅田橋西,中山駅北口
02803,20240401,中山駅北口,佐江戸中央,新羽駅
02900,20240401,横浜駅前,東寺尾５丁目,鶴見駅前
02901,20240401,鶴見駅前,東寺尾５丁目,横浜駅前
02903,20240401,鶴見駅前,東寺尾５丁目,子安小学校入口
03102,20240401,横浜駅西口,東神奈川駅西口,大口駅前
